Sensor,Location,Value1,Value2,Value3,Reading_Time
Sensor,My Room,23.40,77.00,1,2023-01-27 21:44:12
Sensor,My Room,23.40,77.00,1,2023-01-27 21:44:18
Sensor,My Room,23.40,77.00,1,2023-01-27 21:44:24
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:01
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:08
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:14
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:20
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:27
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:35
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:43
Sensor,My Room,23.40,77.00,1,2023-01-27 21:45:50
Sensor,My Room,23.40,76.00,1,2023-01-27 21:45:56
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:02
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:10
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:17
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:23
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:29
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:36
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:42
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:49
Sensor,My Room,23.40,76.00,1,2023-01-27 21:46:55
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:02
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:10
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:16
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:25
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:31
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:37
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:46
Sensor,My Room,23.40,76.00,1,2023-01-27 21:47:53
Sensor,My Room,23.40,76.00,1,2023-01-27 21:51:45
Sensor,My Room,23.40,77.00,1,2023-01-27 21:51:52
Sensor,My Room,23.40,76.00,1,2023-01-27 21:52:43
Sensor,My Room,23.40,76.00,1,2023-01-27 21:52:50
Sensor,My Room,23.40,77.00,1,2023-01-27 21:53:24
Sensor,My Room,23.40,76.00,1,2023-01-27 21:53:31
Sensor,My Room,23.40,76.00,1,2023-01-27 21:53:39
Sensor,My Room,23.40,76.00,1,2023-01-27 21:53:46
Sensor,My Room,23.40,76.00,1,2023-01-27 21:53:52
Sensor,My Room,23.40,76.00,1,2023-01-27 21:53:59
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:05
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:11
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:18
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:24
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:30
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:37
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:43
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:50
Sensor,My Room,23.40,76.00,1,2023-01-27 21:54:56
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:05
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:12
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:18
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:26
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:33
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:39
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:48
Sensor,My Room,23.40,76.00,1,2023-01-27 21:55:54
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:03
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:10
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:16
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:24
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:31
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:38
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:44
Sensor,My Room,23.40,76.00,1,2023-01-27 21:56:50
